period,sequence,team,player,explanation,scoringplay,score_home,score_visitor
"2","2-0177","WCAR","CJ Hyland","CJ Hyland turnover","N","47","21"
"2","2-0188","DUKE","Patrick Ngongba","Patrick Ngongba assist","N","49","21"
"2","2-0188","DUKE","Caleb Foster","Caleb Foster made layup","Y","49","21"
"2","2-0241","WCAR","Marcus Kell","Marcus Kell made layup","Y","49","23"
"2","2-0264","DUKE","Cameron Boozer","Cameron Boozer missed driving layup","N","49","23"
"2","2-0266","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba defensive rebound","N","49","23"
"2","2-0275","WCAR","Tahlan Pettway","Tahlan Pettway missed floating jump shot","N","49","23"
"2","2-0277","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","49","23"
"2","2-0281","DUKE","Cameron Boozer","Cameron Boozer missed 3-point field goal","N","49","23"
"2","2-0284","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","49","23"
"2","2-0284","WCAR","Julien Soumaoro","Julien Soumaoro personal ","N","49","23"
"2","2-0284","WCAR","Justin Johnson","Justin Johnson sub in","N","49","23"
"2","2-0284","WCAR","Julien Soumaoro","Julien Soumaoro sub out","N","49","23"
"2","2-0284","WCAR","CJ Hyland","Samuel Dada sub in","N","49","23"
"2","2-0284","DUKE","Isaiah Evans","Isaiah Evans fouled on the play","N","49","23"
"2","2-0284","DUKE","Isaiah Evans","Isaiah Evans offensive rebound","N","49","23"
"2","2-0286","DUKE","Isaiah Evans","Isaiah Evans missed 3-point jump shot","N","49","23"
"2","2-0289","WCAR","Marcus Kell","Marcus Kell defensive rebound","N","49","23"
"2","2-0297","WCAR","Marcus Kell","Marcus Kell turnover","N","49","23"
"2","2-0297","DUKE","Isaiah Evans","Isaiah Evans steal","N","49","23"
"2","2-03.6","WCAR","Tahlan Pettway","Tahlan Pettway fouled on the play","N","52","23"
"2","2-03.6","DUKE","Dame Sarr","Dame Sarr personal ","N","52","23"
"2","2-0344","DUKE","Caleb Foster","Caleb Foster made 3-point jump shot","Y","52","23"
"2","2-0344","DUKE","Cameron Boozer","Cameron Boozer assist","N","52","23"
"2","2-0346","WCAR","CJ Hyland","media timeout","N","0","0"
"2","2-0346","WCAR","CJ Hyland","30-second timeout","N","52","23"
"2","2-0378","WCAR","Tahlan Pettway","Tahlan Pettway fouled on the play","N","52","23"
"2","2-0378","DUKE","Dame Sarr","Dame Sarr personal ","N","52","23"
"2","2-0385","WCAR","Cord Stansberry","Cord Stansberry missed pullup jump shot","N","52","23"
"2","2-0387","DUKE","Caleb Foster","Caleb Foster defensive rebound","N","52","23"
"2","2-0393","DUKE","Caleb Foster","Caleb Foster missed driving layup (blocked)","N","52","23"
"2","2-0393","WCAR","CJ Hyland","Samuel Dada block","N","52","23"
"2","2-0395","WCAR","CJ Hyland","Samuel Dada defensive rebound","N","52","23"
"2","2-0453","WCAR","Justin Johnson","Justin Johnson missed hook shot","N","52","23"
"2","2-0456","WCAR","CJ Hyland","Samuel Dada offensive rebound","N","52","23"
"2","2-0462","WCAR","Cord Stansberry","Cord Stansberry missed driving layup","N","52","23"
"2","2-0464","DUKE","Caleb Foster","Caleb Foster defensive rebound","N","52","23"
"2","2-0474","DUKE","Dame Sarr","Dame Sarr missed 3-point field goal","N","52","23"
"2","2-0477","WCAR","Cord Stansberry","Cord Stansberry defensive rebound","N","52","23"
"2","2-0482","WCAR","CJ Hyland","Samuel Dada sub out","N","52","25"
"2","2-0482","WCAR","Cord Stansberry","Cord Stansberry assist","N","52","25"
"2","2-0482","WCAR","Justin Johnson","Justin Johnson made driving layup","Y","52","25"
"2","2-0482","DUKE","Caleb Foster","Caleb Foster personal ","N","52","25"
"2","2-0482","WCAR","Justin Johnson","Justin Johnson fouled on the play","N","52","25"
"2","2-0482","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","52","25"
"2","2-0482","DUKE","Maliq Brown","Maliq Brown sub in","N","52","25"
"2","2-0482","DUKE","Cameron Boozer","Cameron Boozer sub out","N","52","25"
"2","2-0482","WCAR","Justin Johnson","Justin Johnson missed free throw 1 of 1","N","52","25"
"2","2-0483","DUKE","Maliq Brown","Maliq Brown defensive rebound","N","52","25"
"2","2-0494","WCAR","Justin Johnson","Justin Johnson personal two shots","N","52","25"
"2","2-0494","DUKE","Patrick Ngongba","Patrick Ngongba fouled on the play","N","52","25"
"2","2-0494","DUKE","Patrick Ngongba","Patrick Ngongba sub out","N","54","25"
"2","2-0494","DUKE","Nikolas Khamenia","Nikolas Khamenia sub in","N","54","25"
"2","2-0494","DUKE","Patrick Ngongba","Patrick Ngongba made free throw 1 of 2","Y","53","25"
"2","2-0494","DUKE","Patrick Ngongba","Patrick Ngongba made free throw 2 of 2","Y","54","25"
"2","2-0545","WCAR","Cord Stansberry","Cord Stansberry missed 3-point field goal","N","54","25"
"2","2-0548","DUKE","Caleb Foster","Caleb Foster defensive rebound","N","54","25"
"2","2-0553","DUKE","Darren Harris","Darren Harris sub in","N","54","25"
"2","2-0553","WCAR","Tahlan Pettway","Tahlan Pettway sub out","N","54","25"
"2","2-0553","WCAR","CJ Hyland","media timeout","N","0","0"
"2","2-0553","WCAR","CJ Hyland","Tidjiane Dioumassi sub in","N","54","25"
"2","2-0553","DUKE","Caleb Foster","Caleb Foster sub out","N","54","25"
"2","2-0553","DUKE","Dame Sarr","Dame Sarr sub out","N","54","25"
"2","2-0553","DUKE","Cayden Boozer","Cayden Boozer sub in","N","54","25"
"2","2-0558","DUKE","Maliq Brown","Maliq Brown assist","N","56","25"
"2","2-0558","DUKE","Darren Harris","Darren Harris made layup","Y","56","25"
"2","2-0586","WCAR","Marcus Kell","Marcus Kell made floating jump shot","Y","56","27"
"2","2-0598","WCAR","Cord Stansberry","Cord Stansberry sub out","N","56","27"
"2","2-0598","WCAR","Julien Soumaoro","Julien Soumaoro sub in","N","56","27"
"2","2-06.6","WCAR","CJ Hyland","Tidjiane Dioumassi missed driving layup (blocked)","N","59","27"
"2","2-06.6","DUKE","Maliq Brown","Maliq Brown block","N","59","27"
"2","2-0644","DUKE","Isaiah Evans","Isaiah Evans made layup","Y","58","27"
"2","2-0644","WCAR","CJ Hyland","Tidjiane Dioumassi personal ","N","58","27"
"2","2-0644","DUKE","Isaiah Evans","Isaiah Evans fouled on the play","N","58","27"
"2","2-0644","DUKE","Darren Harris","Darren Harris assist","N","58","27"
"2","2-0644","DUKE","Isaiah Evans","Isaiah Evans made free throw 1 of 1","Y","59","27"
"2","2-0663","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","59","27"
"2","2-0664","WCAR","Julien Soumaoro","Julien Soumaoro sub out","N","60","27"
"2","2-0664","WCAR","Julien Soumaoro","Julien Soumaoro personal two shots","N","59","27"
"2","2-0664","DUKE","Cayden Boozer","Cayden Boozer fouled on the play","N","59","27"
"2","2-0664","WCAR","CJ Hyland","Fischer Brown sub in","N","60","27"
"2","2-0664","DUKE","Cameron Boozer","Cameron Boozer sub in","N","60","27"
"2","2-0664","DUKE","Isaiah Evans","Isaiah Evans sub out","N","60","27"
"2","2-0664","DUKE","Cayden Boozer","Cayden Boozer made free throw 1 of 2","Y","60","27"
"2","2-0664","DUKE","Cayden Boozer","Cayden Boozer missed free throw 1 of 2","N","60","27"
"2","2-0665","WCAR","Justin Johnson","Justin Johnson defensive rebound","N","60","27"
"2","2-0678","WCAR","Chase McKey","Chase McKey sub in","N","60","29"
"2","2-0678","WCAR","CJ Hyland","Tidjiane Dioumassi made layup","Y","60","29"
"2","2-0678","WCAR","Marcus Kell","Marcus Kell sub out","N","60","29"
"2","2-0688","DUKE","Cayden Boozer","Cayden Boozer missed 3-point field goal","N","60","29"
"2","2-0691","WCAR","Justin Johnson","Justin Johnson defensive rebound","N","60","29"
"2","2-0696","WCAR","Justin Johnson","Justin Johnson assist","N","60","31"
"2","2-0696","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba made layup","Y","60","31"
"2","2-07.6","WCAR","Justin Johnson","Justin Johnson made stepback jump shot","Y","62","33"
"2","2-0744","DUKE","Maliq Brown","Maliq Brown made layup","Y","62","31"
"2","2-0744","DUKE","Cayden Boozer","Cayden Boozer assist","N","62","31"
"2","2-0787","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","63","33"
"2","2-0787","DUKE","Caleb Foster","Caleb Foster sub in","N","63","33"
"2","2-0787","DUKE","Patrick Ngongba","Patrick Ngongba sub in","N","63","33"
"2","2-0787","WCAR","Justin Johnson","Justin Johnson sub out","N","63","33"
"2","2-0787","WCAR","Cord Stansberry","Cord Stansberry sub in","N","63","33"
"2","2-0787","WCAR","CJ Hyland","Samuel Dada sub in","N","63","33"
"2","2-0787","DUKE","Cayden Boozer","Cayden Boozer fouled on the play","N","62","33"
"2","2-0787","DUKE","Darren Harris","Darren Harris sub out","N","63","33"
"2","2-0787","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba personal two shots","N","62","33"
"2","2-0787","DUKE","Maliq Brown","Maliq Brown sub out","N","63","33"
"2","2-0787","DUKE","Cayden Boozer","Cayden Boozer made free throw 1 of 2","Y","63","33"
"2","2-0787","DUKE","Cayden Boozer","Cayden Boozer made free throw 2 of 2","Y","64","33"
"2","2-0853","WCAR","CJ Hyland","Tidjiane Dioumassi missed 3-point field goal","N","64","33"
"2","2-0856","DUKE","Cameron Boozer","Cameron Boozer defensive rebound","N","64","33"
"2","2-0866","DUKE","Patrick Ngongba","Patrick Ngongba turnover","N","64","33"
"2","2-0866","WCAR","CJ Hyland","Tidjiane Dioumassi steal","N","64","33"
"2","2-0869","WCAR","CJ Hyland","Fischer Brown missed layup","N","64","33"
"2","2-0871","DUKE","Caleb Foster","Caleb Foster defensive rebound","N","64","33"
"2","2-0886","DUKE","Cameron Boozer","Cameron Boozer made 3-point field goal","Y","67","33"
"2","2-0886","DUKE","Caleb Foster","Caleb Foster assist","N","67","33"
"2","2-0888","WCAR","CJ Hyland","media timeout","N","0","0"
"2","2-0888","WCAR","CJ Hyland","Fischer Brown sub out","N","67","33"
"2","2-0888","WCAR","Julien Soumaoro","Julien Soumaoro sub in","N","67","33"
"2","2-0888","WCAR","CJ Hyland","30-second timeout","N","67","33"
"2","2-0896","WCAR","Cord Stansberry","Cord Stansberry turnover","N","67","33"
"2","2-09.6","WCAR","CJ Hyland","Samuel Dada offensive rebound","N","70","33"
"2","2-0943","DUKE","Cameron Boozer","Cameron Boozer assist","N","70","33"
"2","2-0943","DUKE","Nikolas Khamenia","Nikolas Khamenia made 3-point jump shot","Y","70","33"
"2","2-0955","WCAR","Julien Soumaoro","Julien Soumaoro missed 3-point stepback jump shot","N","70","33"
"2","2-0961","WCAR","CJ Hyland","Samuel Dada turnover","N","70","33"
"2","2-0961","DUKE","Caleb Foster","Caleb Foster steal","N","70","33"
"2","2-0965","DUKE","Caleb Foster","Caleb Foster made driving layup","Y","72","33"
"2","2-0978","WCAR","Cord Stansberry","Cord Stansberry missed 3-point field goal","N","72","33"
"2","2-0981","DUKE","Caleb Foster","Caleb Foster defensive rebound","N","72","33"
"2","2-0993","DUKE","Patrick Ngongba","Patrick Ngongba missed layup","N","72","33"
"2","2-0995","DUKE","Cameron Boozer","Cameron Boozer offensive rebound","N","72","33"
"2","2-0996","DUKE","Cameron Boozer","Cameron Boozer made dunk","Y","74","33"
"2","2-10.9","DUKE","Caleb Foster","Caleb Foster turnover","N","74","35"
"2","2-10.9","WCAR","Cord Stansberry","Cord Stansberry steal","N","74","35"
"2","2-1073","WCAR","Julien Soumaoro","Julien Soumaoro missed driving layup","N","74","33"
"2","2-1076","WCAR","Chase McKey","Chase McKey made tip-in layup","Y","74","35"
"2","2-1076","WCAR","Chase McKey","Chase McKey offensive rebound","N","74","33"
"2","2-1095","WCAR","Julien Soumaoro","Julien Soumaoro made driving layup","Y","74","37"
"2","2-1152","WCAR","Chase McKey","Chase McKey steal","N","74","37"
"2","2-1152","DUKE","Nikolas Khamenia","Nikolas Khamenia turnover","N","74","37"
"2","2-1155","WCAR","Julien Soumaoro","Julien Soumaoro missed 3-point jump shot","N","74","37"
"2","2-1158","DUKE","Caleb Foster","Caleb Foster defensive rebound","N","74","37"
"2","2-1163","DUKE","Cayden Boozer","Cayden Boozer assist","N","77","37"
"2","2-1163","DUKE","Cameron Boozer","Cameron Boozer made 3-point jump shot","Y","77","37"
"2","2-1165","DUKE","Cameron Boozer","Cameron Boozer sub out","N","77","37"
"2","2-1165","DUKE","Cayden Boozer","Cayden Boozer sub out","N","77","37"
"2","2-1165","DUKE","Isaiah Evans","Isaiah Evans sub in","N","77","37"
"2","2-1165","DUKE","Caleb Foster","Caleb Foster sub out","N|N","77|77","37|37"
"2","2-1165","DUKE","","30-second timeout","","",""
"2","2-1165","DUKE","Patrick Ngongba","Patrick Ngongba sub out","N","77","37"
"2","2-1165","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","77","37"
"2","2-1165","DUKE","Maliq Brown","Maliq Brown sub in","N","77","37"
"2","2-1165","WCAR","CJ Hyland","Samuel Dada sub out","N","77","37"
"2","2-1165","DUKE","Dame Sarr","Dame Sarr sub in","N","77","37"
"2","2-1165","DUKE","Darren Harris","Darren Harris sub in","N","77","37"
"2","2-1165","WCAR","Chase McKey","Chase McKey sub out","N","77","37"
"2","2-1165","WCAR","Marcus Kell","Marcus Kell sub in","N","77","37"
"2","2-1165","WCAR","CJ Hyland","Tidjiane Dioumassi sub out","N","77","37"
"2","2-1165","WCAR","CJ Hyland","CJ Hyland sub in","N","77","37"
"2","2-1177","WCAR","Cord Stansberry","Cord Stansberry made pullup jump shot","Y","77","39"
"2","2-1199","DUKE","Nikolas Khamenia","Nikolas Khamenia missed 3-point field goal","N","77","39"
"2","2-12.5","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba made layup","Y","77","41"
"2","2-12.5","WCAR","Julien Soumaoro","Julien Soumaoro assist","N","77","41"
"2","2-1242","WCAR","Cord Stansberry","Cord Stansberry defensive rebound","N","77","39"
"2","2-1260","WCAR","Julien Soumaoro","Julien Soumaoro missed layup","N","80","41"
"2","2-1265","DUKE","Isaiah Evans","Isaiah Evans missed layup","N","77","41"
"2","2-1267","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba defensive rebound","N","77","41"
"2","2-1274","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba turnover","N","77","41"
"2","2-1283","DUKE","Maliq Brown","Maliq Brown made 3-point jump shot","Y","80","41"
"2","2-1283","DUKE","Nikolas Khamenia","Nikolas Khamenia assist","N","80","41"
"2","2-1342","DUKE","Maliq Brown","Maliq Brown defensive rebound","N","80","41"
"2","2-1346","WCAR","Julien Soumaoro","Julien Soumaoro steal","N","80","41"
"2","2-1346","DUKE","Isaiah Evans","Isaiah Evans turnover","N","80","41"
"2","2-1363","WCAR","Marcus Kell","Marcus Kell turnover","N","80","41"
"2","2-1363","DUKE","Nikolas Khamenia","Nikolas Khamenia steal","N","80","41"
"2","2-1366","DUKE","Dame Sarr","Dame Sarr missed layup","N","80","41"
"2","2-1369","WCAR","Cord Stansberry","Cord Stansberry defensive rebound","N","80","41"
"2","2-1372","WCAR","Cord Stansberry","Cord Stansberry assist","N","80","43"
"2","2-1372","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba made alley-oop","Y","80","43"
"2","2-1387","DUKE","Dame Sarr","Dame Sarr turnover","N","80","43"
"2","2-1387","WCAR","Cord Stansberry","Cord Stansberry steal","N","80","43"
"2","2-1394","DUKE","Patrick Ngongba","Patrick Ngongba sub in","N","80","43"
"2","2-1394","DUKE","Cameron Boozer","Cameron Boozer sub in","N","80","43"
"2","2-1394","WCAR","Cord Stansberry","Cord Stansberry missed layup","N","80","43"
"2","2-1394","WCAR","CJ Hyland","media timeout","N","0","0"
"2","2-1394","DUKE","Nikolas Khamenia","Nikolas Khamenia sub out","N","80","43"
"2","2-1394","DUKE","Isaiah Evans","Isaiah Evans sub out","N","80","43"
"2","2-1394","WCAR","CJ Hyland","Samuel Dada sub in","N","80","43"
"2","2-1394","DUKE","Dame Sarr","Dame Sarr sub out","N","80","43"
"2","2-1394","DUKE","Caleb Foster","Caleb Foster sub in","N","80","43"
"2","2-1394","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","80","43"
"2","2-1394","DUKE","Cayden Boozer","Cayden Boozer sub in","N","80","43"
"2","2-1394","DUKE","Maliq Brown","Maliq Brown sub out","N","80","43"
"2","2-1394","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba offensive rebound","N","80","43"
"2","2-1441","WCAR","Marcus Kell","Marcus Kell missed floating jump shot","N","80","43"
"2","2-1444","WCAR","CJ Hyland","Samuel Dada offensive rebound","N","80","43"
"2","2-1446","WCAR","Marcus Kell","Marcus Kell missed 3-point jump shot","N","80","43"
"2","2-1452","WCAR","Cord Stansberry","Cord Stansberry made tip-in dunk","Y","80","45"
"2","2-1452","WCAR","Cord Stansberry","Cord Stansberry offensive rebound","N","80","43"
"2","2-1463","DUKE","Cameron Boozer","Cameron Boozer made 3-point field goal","Y","83","45"
"2","2-1463","DUKE","Patrick Ngongba","Patrick Ngongba assist","N|N","83|83","45|45"
"2","2-1478","DUKE","","Jump ball held ball","","",""
"2","2-1478","DUKE","Cameron Boozer","Cameron Boozer sub out","N","83","45"
"2","2-1478","DUKE","Caleb Foster","Caleb Foster personal ","N","83","45"
"2","2-1478","WCAR","CJ Hyland","Samuel Dada fouled on the play","N","83","45"
"2","2-1478","DUKE","Darren Harris","Darren Harris sub out","N","83","45"
"2","2-1478","DUKE","Isaiah Evans","Isaiah Evans sub in","N","83","45"
"2","2-1478","DUKE","Maliq Brown","Maliq Brown sub in","N","83","45"
"2","2-1483","WCAR","Julien Soumaoro","Julien Soumaoro made 3-point field goal","Y","83","48"
"2","2-1483","WCAR","CJ Hyland","CJ Hyland assist","N","83","48"
"2","2-1494","DUKE","Maliq Brown","Maliq Brown offensive foul","N","83","48"
"2","2-1494","DUKE","Caleb Foster","Caleb Foster sub out","N","83","48"
"2","2-1494","DUKE","Maliq Brown","Maliq Brown turnover","N","83","48"
"2","2-1494","DUKE","Darren Harris","Darren Harris sub in","N","83","48"
"2","2-1494","WCAR","Julien Soumaoro","Julien Soumaoro fouled on the play","N","83","48"
"2","2-15.7","WCAR","Marcus Kell","Marcus Kell turnover","N","83","48"
"2","2-15.7","DUKE","Patrick Ngongba","Patrick Ngongba steal","N","83","48"
"2","2-1549","WCAR","Cord Stansberry","Cord Stansberry turnover","N","83","48"
"2","2-1549","DUKE","Isaiah Evans","Isaiah Evans steal","N","83","48"
"2","2-1556","DUKE","Patrick Ngongba","Patrick Ngongba missed 3-point jump shot","N","83","48"
"2","2-1559","WCAR","Marcus Kell","Marcus Kell defensive rebound","N","83","48"
"2","2-1575","DUKE","Isaiah Evans","Isaiah Evans missed 3-point jump shot","N","83","48"
"2","2-1578","WCAR","CJ Hyland","Samuel Dada defensive rebound","N","83","48"
"2","2-1585","DUKE","Patrick Ngongba","Patrick Ngongba personal ","N","83","48"
"2","2-1585","DUKE","Patrick Ngongba","Patrick Ngongba sub out","N","83","48"
"2","2-1585","WCAR","Marcus Kell","Marcus Kell fouled on the play","N","83","48"
"2","2-1585","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","83","48"
"2","2-1585","WCAR","CJ Hyland","Samuel Dada sub out","N","83","48"
"2","2-1585","DUKE","Nikolas Khamenia","Nikolas Khamenia sub in","N","83","48"
"2","2-1594","WCAR","CJ Hyland","Cj Hyland missed turnaround jump shot","N","83","48"
"2","2-1597","DUKE","Darren Harris","Darren Harris defensive rebound","N","83","48"
"2","2-1653","DUKE","Nikolas Khamenia","Nikolas Khamenia missed 3-point field goal","N","83","48"
"2","2-1656","DUKE","Isaiah Evans","Isaiah Evans offensive rebound","N","83","48"
"2","2-1658","DUKE","Isaiah Evans","Isaiah Evans missed layup","N","83","48"
"2","2-1661","DUKE","Maliq Brown","Maliq Brown made tip-in layup","Y","85","48"
"2","2-1661","DUKE","Maliq Brown","Maliq Brown offensive rebound","N","83","48"
"2","2-1671","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba made dunk","Y","85","50"
"2","2-1671","WCAR","Julien Soumaoro","Julien Soumaoro assist","N","85","50"
"2","2-1682","DUKE","Nikolas Khamenia","Nikolas Khamenia fouled on the play","N","85","50"
"2","2-1682","WCAR","Marcus Kell","Marcus Kell personal one and one","N","85","50"
"2","2-1682","DUKE","Dame Sarr","Dame Sarr sub in","N","85","50"
"2","2-1682","DUKE","Isaiah Evans","Isaiah Evans sub out","N","85","50"
"2","2-1682","DUKE","Nikolas Khamenia","Nikolas Khamenia missed free throw 1 of 1","N","85","50"
"2","2-1684","WCAR","Julien Soumaoro","Julien Soumaoro defensive rebound","N","85","50"
"2","2-1696","DUKE","Cayden Boozer","Cayden Boozer personal one and one","N","85","50"
"2","2-1696","WCAR","CJ Hyland","CJ Hyland fouled on the play","N","85","50"
"2","2-1697","WCAR","CJ Hyland","CJ Hyland missed free throw 1 of 1","N","85","50"
"2","2-1698","DUKE","Nikolas Khamenia","Nikolas Khamenia defensive rebound","N","85","50"
"2","2-1744","DUKE","Maliq Brown","Maliq Brown fouled on the play","N","85","50"
"2","2-1744","DUKE","Ifeanyi Ufochukwu","Ifeanyi Ufochukwu sub in","N","86","50"
"2","2-1744","DUKE","Maliq Brown","Maliq Brown sub out","N","86","50"
"2","2-1744","WCAR","CJ Hyland","media timeout","N","0","0"
"2","2-1744","WCAR","CJ Hyland","CJ Hyland personal two shots","N","85","50"
"2","2-1744","DUKE","Maliq Brown","Maliq Brown made free throw 1 of 2","Y","86","50"
"2","2-1744","DUKE","Maliq Brown","Maliq Brown missed free throw 1 of 2","N|N","85|85","50|50"
"2","2-1744","DUKE","","Team offensive deadball rebound","","",""
"2","2-1760","WCAR","Tayeshaun Smith","Tayeshaun Smith offensive rebound","N","88","52"
"2","2-1761","WCAR","CJ Hyland","Samuel Dada sub in","N","86","50"
"2","2-1761","WCAR","Cord Stansberry","Cord Stansberry sub out","N","86","50"
"2","2-1761","DUKE","Jack Scott","Jack Scott sub in","N","86","50"
"2","2-1761","DUKE","Cameron Sheffield","Cameron Sheffield sub in","N","86","50"
"2","2-1761","WCAR","Julien Soumaoro","Julien Soumaoro sub out","N","86","50"
"2","2-1761","DUKE","Dame Sarr","Dame Sarr sub out","N","86","50"
"2","2-1761","WCAR","CJ Hyland","CJ Hyland fouled on the play","N","86","50"
"2","2-1761","DUKE","Darren Harris","Darren Harris personal one and one","N","86","50"
"2","2-1761","DUKE","Nikolas Khamenia","Nikolas Khamenia sub out","N","86","50"
"2","2-1761","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","86","50"
"2","2-1761","WCAR","Tahlan Pettway","Tahlan Pettway sub in","N","86","52"
"2","2-1761","WCAR","Tayeshaun Smith","Tayeshaun Smith sub in","N","86","50"
"2","2-1761","WCAR","CJ Hyland","CJ Hyland sub out","N","86","52"
"2","2-1761","WCAR","CJ Hyland","Fischer Brown sub in","N","86","50"
"2","2-1761","WCAR","Justin Johnson","Justin Johnson sub in","N","86","50"
"2","2-1761","WCAR","Marcus Kell","Marcus Kell sub out","N","86","50"
"2","2-1761","WCAR","CJ Hyland","CJ Hyland made free throw 1 of 2","Y","86","51"
"2","2-1761","WCAR","CJ Hyland","CJ Hyland made free throw 2 of 2","Y","86","52"
"2","2-1773","DUKE","Cayden Boozer","Cayden Boozer made floating jump shot","Y","88","52"
"2","2-1793","WCAR","Justin Johnson","Justin Johnson fouled on the play","N","88","52"
"2","2-1793","DUKE","Ifeanyi Ufochukwu","Ifeanyi Ufochukwu personal two shots","N","88","52"
"2","2-1793","WCAR","Justin Johnson","Justin Johnson missed free throw 1 of 2","N","88","52"
"2","2-1793","WCAR","Justin Johnson","Justin Johnson missed free throw 2 of 2","N","88","52"
"2","2-1793","WCAR","CJ Hyland","Team offensive deadball rebound","N","88","52"
"2","2-1796","WCAR","Tahlan Pettway","Tahlan Pettway offensive rebound","N","88","52"
"2","2-1797","WCAR","Tahlan Pettway","Tahlan Pettway missed 3-point jump shot","N","88","52"
"2","2-18.6","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","88","52"
"2","2-1858","WCAR","Justin Johnson","Justin Johnson missed 3-point jump shot","N","88","52"
"2","2-1867","DUKE","Cameron Sheffield","Cameron Sheffield missed driving layup","N","88","52"
"2","2-1871","DUKE","Jack Scott","Jack Scott offensive rebound","N","88","52"
"2","2-1879","DUKE","Jack Scott","Jack Scott missed driving layup","N","88","52"
"2","2-1883","DUKE","Cameron Sheffield","Cameron Sheffield offensive rebound","N","88","52"
"2","2-1887","DUKE","Cayden Boozer","Cayden Boozer assist","N","91","52"
"2","2-1887","DUKE","Jack Scott","Jack Scott made 3-point jump shot","Y","91","52"
"2","2-1896","WCAR","CJ Hyland","Samuel Dada missed jump shot","N","91","52"
"2","2-1899","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","91","52"
"2","2-1899","WCAR","CJ Hyland","Samuel Dada sub out","N","91","52"
"2","2-1899","WCAR","CJ Hyland","Team offensive rebound","N","91","52"
"2","2-1947","WCAR","Tahlan Pettway","Tahlan Pettway assist","N","91","54"
"2","2-1947","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba made layup","Y","91","54"
"2","2-1982","DUKE","Cameron Sheffield","Cameron Sheffield missed driving layup","N","91","54"
"2","2-1984","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba defensive rebound","N","91","54"
"2","2-1989","WCAR","CJ Hyland","Fischer Brown missed 3-point field goal","N","91","54"
"2","2-1993","DUKE","Ifeanyi Ufochukwu","Ifeanyi Ufochukwu defensive rebound","N","91","54"
"2","2-20.6","WCAR","CJ Hyland","CJ Hyland steal","N","93","54"
"2","2-20.6","DUKE","Cayden Boozer","Cayden Boozer turnover","N","93","54"
"2","2-2042","DUKE","Darren Harris","Darren Harris assist","N","93","54"
"2","2-2042","DUKE","Ifeanyi Ufochukwu","Ifeanyi Ufochukwu made layup","Y","93","54"
"2","2-2042","DUKE","Ifeanyi Ufochukwu","Ifeanyi Ufochukwu fouled on the play","N","93","54"
"2","2-2042","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba personal ","N","93","54"
"2","2-2042","DUKE","Ifeanyi Ufochukwu","Ifeanyi Ufochukwu missed free throw 1 of 1","N","93","54"
"2","2-2045","WCAR","CJ Hyland","Fischer Brown defensive rebound","N","93","54"
"2","2-2046","WCAR","Max Williams","Max Williams sub in","N","93","54"
"2","2-2046","WCAR","Justin Johnson","Justin Johnson sub out","N","93","54"
"2","2-2046","WCAR","CJ Hyland","Drew Hollifield sub in","N","93","54"
"2","2-2046","WCAR","Tayeshaun Smith","Tayeshaun Smith sub out","N","93","54"
"2","2-2055","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba turnover","N","93","54"
"2","2-2056","WCAR","Tahlan Pettway","Tahlan Pettway sub out","N","93","54"
"2","2-2056","WCAR","CJ Hyland","CJ Hyland sub in","N","93","54"
"2","2-2060","WCAR","CJ Hyland","Period end confirmed","N","0","0"
"2","2-2060","WCAR","CJ Hyland","End of game","N","0","0"
"2","2-2060","WCAR","CJ Hyland","End of period","N","0","0"
"2","2-2063","WCAR","CJ Hyland","Fischer Brown turnover","N","93","54"
"2","2-2063","DUKE","Cayden Boozer","Cayden Boozer steal","N","93","54"
"2","2-2064","WCAR","CJ Hyland","Fischer Brown personal two shots","N","93","54"
"2","2-2064","DUKE","Cayden Boozer","Cayden Boozer fouled on the play","N","93","54"
