period,sequence,team,player,explanation,scoringplay,score_home,score_visitor
"1","1-0642","WCAR","Marcus Kell","Marcus Kell missed 3-point field goal","N","11","6"
"1","1-0645","DUKE","Nikolas Khamenia","Nikolas Khamenia defensive rebound","N","11","6"
"1","1-0653","DUKE","Cayden Boozer","Cayden Boozer fouled on the play","N","13","6"
"1","1-0653","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","13","6"
"1","1-0653","WCAR","Chase McKey","Chase McKey sub in","N","13","6"
"1","1-0653","WCAR","Marcus Kell","Marcus Kell sub out","N","13","6"
"1","1-0653","DUKE","Cayden Boozer","Cayden Boozer made layup","Y","13","6"
"1","1-0653","WCAR","Tahlan Pettway","Tahlan Pettway personal ","N","13","6"
"1","1-0653","WCAR","CJ Hyland","Samuel Dada sub out","N","13","6"
"1","1-0653","DUKE","Cameron Boozer","Cameron Boozer sub out","N","13","6"
"1","1-0653","DUKE","Patrick Ngongba","Patrick Ngongba sub in","N","13","6"
"1","1-0653","WCAR","Cord Stansberry","Cord Stansberry sub out","N","13","6"
"1","1-0653","WCAR","CJ Hyland","Tidjiane Dioumassi sub in","N","13","6"
"1","1-0653","DUKE","Cayden Boozer","Cayden Boozer missed free throw 1 of 1","N","13","6"
"1","1-0654","WCAR","Justin Johnson","Justin Johnson defensive rebound","N","13","6"
"1","1-0665","WCAR","Justin Johnson","Justin Johnson missed 3-point field goal","N","13","6"
"1","1-0668","DUKE","Maliq Brown","Maliq Brown defensive rebound","N","13","6"
"1","1-0685","WCAR","Chase McKey","Chase McKey defensive rebound","N","13","6"
"1","1-07.5","WCAR","Tahlan Pettway","Tahlan Pettway missed floating jump shot","N","13","6"
"1","1-07.7","DUKE","Cayden Boozer","Cayden Boozer made floating jump shot","Y","15","6"
"1","1-0752","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","13","6"
"1","1-0762","WCAR","Julien Soumaoro","Julien Soumaoro sub in","N","13","6"
"1","1-0762","WCAR","Justin Johnson","Justin Johnson sub out","N","13","6"
"1","1-0783","WCAR","Julien Soumaoro","Julien Soumaoro missed 3-point field goal","N","15","6"
"1","1-0785","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","15","6"
"1","1-0793","WCAR","CJ Hyland","Samuel Dada sub in","N","16","6"
"1","1-0793","WCAR","Marcus Kell","Marcus Kell sub in","N","16","6"
"1","1-0793","WCAR","Chase McKey","Chase McKey sub out","N","16","6"
"1","1-0793","DUKE","Dame Sarr","Dame Sarr sub in","N","16","6"
"1","1-0793","DUKE","Maliq Brown","Maliq Brown sub out","N","16","6"
"1","1-0793","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","16","6"
"1","1-0793","DUKE","Nikolas Khamenia","Nikolas Khamenia fouled on the play","N","15","6"
"1","1-0793","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba personal two shots","N","15","6"
"1","1-0793","DUKE","Nikolas Khamenia","Nikolas Khamenia made free throw 1 of 2","Y","16","6"
"1","1-0793","DUKE","Nikolas Khamenia","Nikolas Khamenia made free throw 2 of 2","Y","17","6"
"1","1-08.8","WCAR","CJ Hyland","Samuel Dada missed jump shot","N","19","6"
"1","1-08.9","WCAR","CJ Hyland","Tidjiane Dioumassi missed 3-point jump shot","N","19","6"
"1","1-0855","WCAR","CJ Hyland","Samuel Dada turnover","N","17","6"
"1","1-0855","DUKE","Cayden Boozer","Cayden Boozer fouled on the play","N","17","6"
"1","1-0855","WCAR","Tahlan Pettway","Tahlan Pettway sub out","N","17","6"
"1","1-0855","WCAR","Cord Stansberry","Cord Stansberry sub in","N","17","6"
"1","1-0855","WCAR","CJ Hyland","Samuel Dada offensive foul","N","17","6"
"1","1-0866","DUKE","Patrick Ngongba","Patrick Ngongba made dunk","Y","19","6"
"1","1-0866","DUKE","Darren Harris","Darren Harris assist","N","19","6"
"1","1-0883","WCAR","Marcus Kell","Marcus Kell offensive rebound","N","19","6"
"1","1-0894","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","19","6"
"1","1-0944","DUKE","Nikolas Khamenia","Nikolas Khamenia missed 3-point field goal","N","19","6"
"1","1-0947","WCAR","Cord Stansberry","Cord Stansberry defensive rebound","N","19","6"
"1","1-0956","WCAR","CJ Hyland","media timeout","N","0","0"
"1","1-0956","WCAR","CJ Hyland","CJ Hyland sub in","N","19","6"
"1","1-0956","WCAR","CJ Hyland","Tidjiane Dioumassi sub out","N","19","6"
"1","1-0967","DUKE","Cayden Boozer","Cayden Boozer sub out","N","19","6"
"1","1-0967","DUKE","Caleb Foster","Caleb Foster sub in","N","19","6"
"1","1-0967","DUKE","Nikolas Khamenia","Nikolas Khamenia personal ","N","19","6"
"1","1-0967","WCAR","Cord Stansberry","Cord Stansberry fouled on the play","N","19","6"
"1","1-0967","DUKE","Darren Harris","Darren Harris sub out","N","19","6"
"1","1-0967","DUKE","Cameron Boozer","Cameron Boozer sub in","N","19","6"
"1","1-0967","DUKE","Isaiah Evans","Isaiah Evans sub in","N","19","6"
"1","1-0967","DUKE","Nikolas Khamenia","Nikolas Khamenia sub out","N","19","6"
"1","1-0979","WCAR","Marcus Kell","Marcus Kell missed jump shot (blocked)","N","19","6"
"1","1-0979","DUKE","Cameron Boozer","Cameron Boozer block","N","19","6"
"1","1-0983","WCAR","Marcus Kell","Marcus Kell offensive rebound","N","19","6"
"1","1-0987","DUKE","Isaiah Evans","Isaiah Evans block","N","19","6"
